iter	Passed	Remaining
766	2232	678
767	2233	674
768	2234	671
769	2235	667
770	2237	664
771	2238	661
772	2241	658
773	2242	654
774	2244	651
775	2245	648
776	2247	644
777	2248	641
778	2249	638
779	2251	634
780	2252	631
781	2254	628
782	2255	625
783	2256	621
784	2258	618
785	2260	615
786	2261	611
787	2262	608
788	2263	605
789	2264	602
790	2266	598
791	2268	595
792	2269	592
793	2270	589
794	2271	585
795	2273	582
796	2274	579
797	2275	576
798	2276	572
799	2278	569
800	2279	566
801	2280	563
802	2282	559
803	2283	556
804	2284	553
805	2285	550
806	2286	546
807	2288	543
808	2289	540
809	2290	537
810	2291	533
811	2292	530
812	2293	527
813	2295	524
814	2296	521
815	2297	518
816	2298	514
817	2299	511
818	2300	508
819	2302	505
820	2303	502
821	2304	498
822	2305	495
823	2306	492
824	2307	489
825	2309	486
826	2310	483
827	2311	480
828	2312	477
829	2313	473
830	2315	470
831	2316	467
832	2317	464
833	2318	461
834	2319	458
835	2320	455
836	2321	452
837	2323	449
838	2324	446
839	2325	442
840	2326	439
841	2328	436
842	2329	433
843	2330	430
844	2331	427
845	2332	424
846	2333	421
847	2334	418
848	2336	415
849	2337	412
850	2338	409
851	2339	406
852	2341	403
853	2343	400
854	2345	397
855	2346	394
856	2347	391
857	2356	389
858	2358	387
859	2359	384
860	2360	381
861	2362	378
862	2363	375
863	2365	372
864	2367	369
865	2368	366
866	2370	363
867	2371	360
868	2372	357
869	2373	354
870	2375	351
871	2376	348
872	2378	345
873	2380	343
874	2382	340
875	2384	337
876	2387	334
877	2389	332
878	2391	329
879	2394	326
880	2396	323
881	2397	320
882	2399	317
883	2400	315
884	2401	312
885	2403	309
886	2404	306
887	2406	303
888	2408	300
889	2410	297
890	2412	295
891	2414	292
892	2415	289
893	2417	286
894	2418	283
895	2420	280
896	2422	278
897	2424	275
898	2425	272
899	2427	269
900	2429	266
901	2430	264
902	2432	261
903	2437	258
904	2438	256
905	2440	253
906	2442	250
907	2443	247
908	2445	244
909	2446	241
910	2449	239
911	2451	236
912	2457	234
913	2460	231
914	2474	229
915	2477	227
916	2481	224
917	2484	221
918	2488	219
919	2491	216
920	2495	214
921	2498	211
922	2504	208
923	2511	206
924	2514	203
925	2519	201
926	2522	198
927	2525	195
928	2527	193
929	2533	190
930	2536	188
931	2542	185
932	2546	182
933	2549	180
934	2553	177
935	2556	174
